23,Uncharted: The Nathan Drake Collection,2015,A remastered collection of Uncharted: Drake's Fortune (2007)  Uncharted 2: Among Thieves (2009)  and Uncharted 3: Drake's Deception (2011) for PlayStation 4.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
24,Assassin's Creed Valhalla,2020,England in the age of the Vikings is a fractured nation of petty lords and warring kingdoms. Beneath the chaos lies a rich and untamed land waiting for a new conqueror. Will it be you?,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
25,Marvel's Guardians of the Galaxy,2021,After an epic conflict known as the Galactic War swept through the cosmos. Star-Lord recently formed the Guardians of the Galaxy  they've been together for less than a year.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Grand Theft Auto: Vice City,2002,After being released from jail  Tommy Vercetti left Liberty City for Vice City  a city overrun by the mob. Now  Tommy is out to make Vice City his home.,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
27,Uncharted 2: Among Thieves,2009,After being tracked down by Harry Flynn  Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst  Drake must rely on those closest to him in order to find the Cintomani Stone.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28,The Witcher 3: Wild Hunt,2015,A monster hunter for hire embarks on an epic journey to find his former apprentice before The Wild Hunt can capture her and bring about the destruction of the world.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,Fallout: New Vegas,2010,After surviving a bullet to the head  Courier Six traverses the post-apocalyptic Mojave desert in search of the men who wronged him  while making an impact on thousands in the process.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
30,Command & Conquer: Red Alert 3,2008,As the Soviet Union was beginning to face defeat by the powers of the western world  General Krukov and Colonel Cherdenko with Dr. Zelinski make a last ditch effort to save the Union by using Zelinski's latest invention  a time machine.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
31,Horizon Zero Dawn,2017,In a primitive tribal world where strange  monstrous  animalistic machines roam the wilderness  a brave young female warrior goes on a quest to learn the truth about her mysterious origin and the state the world is in.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
32,Red Dead Redemption,2010,A former outlaw is forced by the federal government to hunt down the members of his old gang.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,Call of Duty: Modern Warfare,2019,Captain Price and the SAS partner with the CIA and the Urzikstani Liberation Force to retrieve stolen chemical weapons. The fight takes you from London to the Middle East and beyond  as this joint task force battles to stop a global war.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
34,Final Fantasy VII Remake,2020,Re-imagining of Final Fantasy VII (1997). A former soldier joins an eco-terrorist group in a mission against the electric power company he used to work for in order to protect the planet and all who reside on it.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
35,Genshin Impact,2020,Each nation is associated with an element and worships a god associated with that element. A pair of twins arrive on Teyvat in the distant past  but are barred from leaving by an unknown god.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
36,The Elder Scrolls V: Skyrim,2011,After escaping execution  the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
37,Fallout 4,2015,"In the post-apocalyptic Boston  Massachusetts area  you play as the ""Sole Survior"" of Vault 111  recently revived from centuries of forced cryostasis  determined to find your kidnapped son.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
38,Yakuza: Like a Dragon,2020,Ichiban Kasuga  a low-level Yakuza member looking to prove his self-worth  and follows him and his motley crew of unlikely allies as they attempt to rise from rags to riches in this modern human drama.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39,Days Gone,2019,Two years after a devastating global pandemic  bounty hunter Deacon St. John faces a brutal struggle for survival  and a reason to live.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,Squadron 42,,Take the role of a rookie UEE Navy combat pilot in a cinematic single-player adventure set in the Star Citizen universe.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
41,Grand Theft Auto IV,2008,Niko Bellic comes to Liberty City  America to live the good life  but ends up having to assist his dangerously indebted cousin Roman with his financial troubles  by any (mostly illegal) means necessary.,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42,Batman: Arkham City,2011,When part of Gotham is turned into a private reserve for criminals known as Arkham City  all hell is sure to break loose  and the Dark Knight is the only one who can stop it.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
43,Tiny Tina's Wonderlands,2022,Embark on an epic adventure full of whimsy  wonder  and high-powered weaponry. Bullets  magic  and broadswords collide across this chaotic fantasy world brought to life by the unpredictable Tiny Tina.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
